"","weo-country","WEO Country"
"1","ABW","Aruba"
"2","AFG","Afghanistan"
"3","AGO","Angola"
"4","ALB","Albania"
"5","AND","Andorra"
"6","ARE","United Arab Emirates"
"7","ARG","Argentina"
"8","ARM","Armenia"
"9","ATG","Antigua and Barbuda"
"10","AUS","Australia"
"11","AUT","Austria"
"12","AZE","Azerbaijan"
"13","BDI","Burundi"
"14","BEL","Belgium"
"15","BEN","Benin"
"16","BFA","Burkina Faso"
"17","BGD","Bangladesh"
"18","BGR","Bulgaria"
"19","BHR","Bahrain"
"20","BHS","The Bahamas"
"21","BIH","Bosnia and Herzegovina"
"22","BLR","Belarus"
"23","BLZ","Belize"
"24","BOL","Bolivia"
"25","BRA","Brazil"
"26","BRB","Barbados"
"27","BRN","Brunei Darussalam"
"28","BTN","Bhutan"
"29","BWA","Botswana"
"30","CAF","Central African Republic"
"31","CAN","Canada"
"32","CHE","Switzerland"
"33","CHL","Chile"
"34","CHN","China"
"35","CIV","Côte d'Ivoire"
"36","CMR","Cameroon"
"37","COD","Democratic Republic of the Congo"
"38","COG","Republic of Congo"
"39","COL","Colombia"
"40","COM","Comoros"
"41","CPV","Cabo Verde"
"42","CRI","Costa Rica"
"43","CYP","Cyprus"
"44","CZE","Czech Republic"
"45","DEU","Germany"
"46","DJI","Djibouti"
"47","DMA","Dominica"
"48","DNK","Denmark"
"49","DOM","Dominican Republic"
"50","DZA","Algeria"
"51","ECU","Ecuador"
"52","EGY","Egypt"
"53","ERI","Eritrea"
"54","ESP","Spain"
"55","EST","Estonia"
"56","ETH","Ethiopia"
"57","FIN","Finland"
"58","FJI","Fiji"
"59","FRA","France"
"60","FSM","Micronesia"
"61","GAB","Gabon"
"62","GBR","United Kingdom"
"63","GEO","Georgia"
"64","GHA","Ghana"
"65","GIN","Guinea"
"66","GMB","The Gambia"
"67","GNB","Guinea-Bissau"
"68","GNQ","Equatorial Guinea"
"69","GRC","Greece"
"70","GRD","Grenada"
"71","GTM","Guatemala"
"72","GUY","Guyana"
"73","HKG","Hong Kong SAR"
"74","HND","Honduras"
"75","HRV","Croatia"
"76","HTI","Haiti"
"77","HUN","Hungary"
"78","IDN","Indonesia"
"79","IND","India"
"80","IRL","Ireland"
"81","IRN","Islamic Republic of Iran"
"82","IRQ","Iraq"
"83","ISL","Iceland"
"84","ISR","Israel"
"85","ITA","Italy"
"86","JAM","Jamaica"
"87","JOR","Jordan"
"88","JPN","Japan"
"89","KAZ","Kazakhstan"
"90","KEN","Kenya"
"91","KGZ","Kyrgyz Republic"
"92","KHM","Cambodia"
"93","KIR","Kiribati"
"94","KNA","St. Kitts and Nevis"
"95","KOR","Korea"
"96","KWT","Kuwait"
"97","LAO","Lao P.D.R."
"98","LBN","Lebanon"
"99","LBR","Liberia"
"100","LBY","Libya"
"101","LCA","St. Lucia"
"102","LKA","Sri Lanka"
"103","LSO","Lesotho"
"104","LTU","Lithuania"
"105","LUX","Luxembourg"
"106","LVA","Latvia"
"107","MAC","Macao SAR"
"108","MAR","Morocco"
"109","MDA","Moldova"
"110","MDG","Madagascar"
"111","MDV","Maldives"
"112","MEX","Mexico"
"113","MHL","Marshall Islands"
"114","MKD","North Macedonia"
"115","MLI","Mali"
"116","MLT","Malta"
"117","MMR","Myanmar"
"118","MNE","Montenegro"
"119","MNG","Mongolia"
"120","MOZ","Mozambique"
"121","MRT","Mauritania"
"122","MUS","Mauritius"
"123","MWI","Malawi"
"124","MYS","Malaysia"
"125","NAM","Namibia"
"126","NER","Niger"
"127","NGA","Nigeria"
"128","NIC","Nicaragua"
"129","NLD","Netherlands"
"130","NOR","Norway"
"131","NPL","Nepal"
"132","NRU","Nauru"
"133","NZL","New Zealand"
"134","OMN","Oman"
"135","PAK","Pakistan"
"136","PAN","Panama"
"137","PER","Peru"
"138","PHL","Philippines"
"139","PLW","Palau"
"140","PNG","Papua New Guinea"
"141","POL","Poland"
"142","PRI","Puerto Rico"
"143","PRT","Portugal"
"144","PRY","Paraguay"
"145","QAT","Qatar"
"146","ROU","Romania"
"147","RUS","Russia"
"148","RWA","Rwanda"
"149","SAU","Saudi Arabia"
"150","SDN","Sudan"
"151","SEN","Senegal"
"152","SGP","Singapore"
"153","SLB","Solomon Islands"
"154","SLE","Sierra Leone"
"155","SLV","El Salvador"
"156","SMR","San Marino"
"157","SOM","Somalia"
"158","SRB","Serbia"
"159","SSD","South Sudan"
"160","STP","São Tomé and Príncipe"
"161","SUR","Suriname"
"162","SVK","Slovak Republic"
"163","SVN","Slovenia"
"164","SWE","Sweden"
"165","SWZ","Eswatini"
"166","SYC","Seychelles"
"167","SYR","Syria"
"168","TCD","Chad"
"169","TGO","Togo"
"170","THA","Thailand"
"171","TJK","Tajikistan"
"172","TKM","Turkmenistan"
"173","TLS","Timor-Leste"
"174","TON","Tonga"
"175","TTO","Trinidad and Tobago"
"176","TUN","Tunisia"
"177","TUR","Turkey"
"178","TUV","Tuvalu"
"179","TWN","Taiwan Province of China"
"180","TZA","Tanzania"
"181","UGA","Uganda"
"182","UKR","Ukraine"
"183","URY","Uruguay"
"184","USA","United States"
"185","UVK","Kosovo"
"186","UZB","Uzbekistan"
"187","VCT","St. Vincent and the Grenadines"
"188","VEN","Venezuela"
"189","VNM","Vietnam"
"190","VUT","Vanuatu"
"191","WBG","West Bank and Gaza"
"192","WSM","Samoa"
"193","YEM","Yemen"
"194","ZAF","South Africa"
"195","ZMB","Zambia"
"196","ZWE","Zimbabwe"
